utterance,intent,intent1
need referral letter visit specialist,medical.must_i_get_referral_from_gp_before_consulting_a_specialist,179
need new hire learning,training.who_is_required_to_complete_the_mandatory_learning,500
need fill timeshift,cwms.timesheet_and_invoicing_matters_in_cwms,28
need inform ma move new place,staff_info_update.update_contact_info_and_address,418
need update ma switch phone,staff_info_update.update_contact_info_and_address,418
apply medical reimbursement flex application,medical.how_to_submit_medical_claim,171
qualify esp,training.gesp_eligibility,461
qualify marriage leave,leave.leave_guidelines,150
it expire,itq_and_wetq.will_my_itq_points_expire,135
count weekend paternity leave application,leave.does_maternity___paternity_leave_include_weekend___non-working_days___ph,146
paternity leave,leave.leave_guidelines,150
loan child education,iprivileges.further_assist_loan_for_employees_children,108
sell so unit since obsolete soon,shares.what_happens_to_my_sos_units,406
training ki meet,training.training_hours,487
need leave least 200 unit order eligible share,shares.eligibility_criteria_for_ishares,394
need record epic insurance number,people_hub.how_to_update_national_id_or_government_id_in_people_hub,318
know 1banked new hire aim people finder,onboarding.when_will_the_new_hire_1bank_id_be_ready,216
document required pf enrollment,payroll.know_more_about_pf_enrollment_process,251
document required provide fund enrollment,payroll.know_more_about_pf_enrollment_process,251
db hr assist employee apply lt parent,standard_letter_request.can_i_request_dbs_to_generate_a_letter_for_ltvp_application,422
db accept unused childcare leave previous company,leave.does_dbs_accept_unused_childcare_leave_from_previous_company,145
esp cover mba course well,training.gesp_eligibility,461
hr letter template deterrent reservist called,standard_letter_request.can_i_request_dbs_to_generate_a_ns_deferment_letter_for_me,424
hr notify ministry manpower uploaded new passport detail,staff_info_update.update_passport_number,420
flex cover expense incurred health wellness family lifestyle need,iflex.what_can_be_claimed_against_iflex,75
paternity leave include weekend networking day ph,leave.does_maternity___paternity_leave_include_weekend___non-working_days___ph,146
contract senior need clear block leave 2020 2021 contract 31 aug 2020 30 aug 2021,leave.can_i_take_leave,140
managed service staff onboard faster,cwms.cwf_service_level_agreement,23
mediclaims castle,medical.how_can_i_avail_cashless_hospitalization_benefit,163
ambulance service charge u db,medical.what_is_ambulance_services,183
guest open staff,talent_management.eligibility_for_be_my_guest_program,439
block leave includes weekly offs holiday,leave.what_can_be_considered_as_block_leave,153
compassionate leave applies fatherinlaws passing,leave.leave_guidelines,150
compassionate leave cover great grandparent,leave.leave_guidelines,150
contract staff entitled block leave,leave.leave_guidelines,150
country matter staff tagging cm,cwms.work_location_tagging_for_cwf,30
expense swimming centre included category spa wellness centre,iflex.what_can_be_claimed_against_iflex,75
external contractor enjoy preferential interest rate,iprivileges.eligibility_for_staff_banking_privileges,107
share replace existing so scheme enrolled so auto enrolled share existing holding transferred automatically,shares.what_happens_to_my_sos_units,406
share mean purchase db share discount,shares.how_is_the_share_price_determined,397
share mean purchase db share lower price,shares.how_is_the_share_price_determined,397
share work way so,shares.how_does_ishares_work,396
maternity leave include weekend,leave.does_maternity___paternity_leave_include_weekend___non-working_days___ph,146
maternity leave include weekend networking day ph,leave.does_maternity___paternity_leave_include_weekend___non-working_days___ph,146
medical insurance cover ambulance service charge well,medical.what_is_ambulance_services,183
contract staff get building access,onboarding.new_hire_staff_pass,213
intern need log learning hub enroll mandatory learning,training.who_is_required_to_complete_the_mandatory_learning,500
manager provide input holiday working hr rm,payroll.when_will_i_get_my_pay,283
maternity leave include ph,leave.does_maternity___paternity_leave_include_weekend___non-working_days___ph,146
professional contract staff require check boarding,cwms.cwf_pre_employment_screening,21
nominated staff get selected talent programme directly,hipo_management.are_my_nominees_in_the_talent_programme,52
boarding time differ contingency contract type,cwms.cwf_service_level_agreement,23
group insurance cover tcm,medical.tcm_generic,182
part time improves employee engagement,flexible_work_arrangement.what_is_part_time_policy,33
sustaining productivity improves part time,flexible_work_arrangement.what_is_part_time_policy,33
balance flex able carry forward next year,iflex.can_my_iflex_be_carried_forward_to_next_year,64
bank allow staff leave work early eve chinese new year,general_benefits.festive_early_release,47
bank recognize mc issued tcm,medical.tcm_generic,182
block leave mean leave working day,leave.what_can_be_considered_as_block_leave,153
insurance coverage varies basis job grade db,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_,174
benefit work emergency hospitalization planned hospitalization,medical.how_can_i_avail_cashless_hospitalization_benefit,163
course accord compliance hr,training.training_hours,487
unpaid leave refer sabbatical pay,leave.differences_between_no_pay_and_sabbatical_leave,144
weekly offs falling block leave period considered block leave,leave.what_can_be_considered_as_block_leave,153
download pf enrollment document,payroll.know_more_about_pf_enrollment_process,251
download provide fund enrollment document,payroll.know_more_about_pf_enrollment_process,251
dress code,onboarding.dress_code,205
drop course,training.course_withdrawal,453
due change travel plan need really revised period overlapped earlier approved leave change leave date system,people_hub.how_to_correct_or_cancel_my_leave_in_people_hub,303
due report there change department code assist,staff_info_update.change_in_reporting_manager,409
duration new hire orientation,onboarding.duration_of_new_hire_orientation,206
duration new hire orientation programme,onboarding.duration_of_new_hire_orientation,206
goal setting know goal direction grp scorecard,performance_and_development.how_to_align_my_goals_to_the_balanced_scorecard,351
last business trip able help letter visa purpose would able help third time u visit please,standard_letter_request.can_i_request_dbs_to_generate_visa_letter_for_me,433
first day orientation informed new joined access db boarding portal learn task expected complete however unable access db boarding link pls advise,onboarding.login_access_to_taleo,210
card,medical.what_is_an_e-card,184
card help desk,medical.what_is_an_e-card,184
eap,training.what_is_eap,492
eo adjustment,payroll.what_is_employment_ordinance_adjustment,272
eo adjustment calculation,payroll.what_is_employment_ordinance_adjustment,272
eo payment relevant income,payroll.relevant_income_under_mpf,261
eo wage calculation,payroll.how_to_calculate_employment_ordinance_adjustment,235
boy appraisal,performance_and_development.what_is_pd_year-end_review,385
boy review,performance_and_development.what_is_pd_year-end_review,385
ep 152,standard_letter_request.can_i_request_dbs_to_generate_a_pr_letter_for_me,425
ep renewal,standard_letter_request.ep___dp___s_pass_renewal,435
ep account number,payroll.what_is_my_pf_accountno_uanno_and_epfno,275
er ordo contribution final payment,payroll.will_there_be_orso_employer_contribution_in_final_payment,286
early pay announcement,payroll.festive_early_pay,229
early termination contingent staff,cwms.termination_or_cancellation_in_cwms,27
eat family,general_benefits.eat_with_your_family,46
eat family,general_benefits.eat_with_your_family,46
effective date mp contribution,payroll.employer_and_employee_mpf_contribution_start_date,228
eligibility criterion share,shares.eligibility_criteria_for_ishares,394
eligibility guest program,talent_management.eligibility_for_be_my_guest_program,439
eligibility gravity,payroll.gratuity,230
eligibility staff banking privilege,iprivileges.eligibility_for_staff_banking_privileges,107
email learning hub,training.training_escalation,486
email notification raise purchase order intern,cwms.cwf_purchase_order,22
emergency leave,leave.leave_guidelines,150
employee exit process,offboarding.offboarding_point_of_contact,198
employee mp contribution,payroll.how_to_view_my_mpf_contribution_amount,244
employee mp contribution start date,payroll.employer_and_employee_mpf_contribution_start_date,228
employee mp start date,payroll.employer_and_employee_mpf_contribution_start_date,228
employee offboarding checklist,offboarding.return_of_staff_pass_and_bank_properties,202
employee pf contribution,payroll.how_to_view_my_vpf_contribution,245
employee voluntary contribution,payroll.taxability_of_employee_voluntary_contribution,263
employee voluntary contribution nontaxable,payroll.taxability_of_employee_voluntary_contribution,263
employee assistance program,training.what_is_eap,492
employee facility mortgage,iprivileges.staff_home_loan,118
employee screening check decline,cwms.cwf_pre_employment_screening,21
employee compensation getting injured office,medical.who_can_i_contact_if_i_injured_myself_at_work,190
employer mp contribution,payroll.how_to_view_my_mpf_contribution_amount,244
employer mp contribution start date,payroll.employer_and_employee_mpf_contribution_start_date,228
employer notification national service called,leave.can_i_take_leave,140
employer employee mp contribution start date,payroll.employer_and_employee_mpf_contribution_start_date,228
end probation,onboarding.end_of_probation,207
end contract gravity,payroll.gratuity,230
ending contingent worker decline,cwms.termination_or_cancellation_in_cwms,27
ending worker contract cm,cwms.termination_or_cancellation_in_cwms,27
enhanced childcare leave,leave.leave_guidelines,150
enquiry leave,leave.leave_guidelines,150
