,utterance,intent,intent1,pred_idx,pred_values,top_p1,top_p2,top_p3,top_class1,top_class2,top_class3,predictions1,predictions2,predictions3
919,dbs staff union,general_benefits.benefits,44,433,standard_letter_request.dbs_letterhead_and_dbs_company_stamp,0.02284891903400421,0.0227668397128582,0.019587934017181396,433,30,285,standard_letter_request.dbs_letterhead_and_dbs_company_stamp,cwms.work_location_tagging_for_cwf,payroll.who_is_eligible_under_mpf_scheme
920,how to reach hr hot line,general_benefits.who_is_my_hr_rm,51,51,general_benefits.who_is_my_hr_rm,0.9592124223709106,0.0023681791499257088,0.0014254427514970303,51,312,48,general_benefits.who_is_my_hr_rm,people_hub.how_to_update_contact_info_in_people_hub,general_benefits.hr_circulars
921,dbs people hub,people_hub.dbs_people_hub,290,290,people_hub.dbs_people_hub,0.6575388312339783,0.012197419069707394,0.011803776025772095,290,318,212,people_hub.dbs_people_hub,people_hub.how_to_update_national_id_or_government_id_in_people_hub,onboarding.new_hire_profile
922,to check the status of the housing loan application,iprivileges.staff_home_loan,118,118,iprivileges.staff_home_loan,0.9096624851226807,0.005464940797537565,0.0036044728476554155,118,271,110,iprivileges.staff_home_loan,payroll.what_is_car_lease_scheme,iprivileges.how_to_apply_for_staff_car_loan
923,how do i put up someone for recruitment,internal_mobility.internal_mobility_system_escalation,101,98,internal_mobility.internal_mobility_application_process,0.318664014339447,0.14501798152923584,0.04577677324414253,98,102,101,internal_mobility.internal_mobility_application_process,internal_mobility.job_posting_notification_in_dbs_recruiting_hub,internal_mobility.internal_mobility_system_escalation
924,i need my payslip,payroll.how_to_generate_my_payslip,240,240,payroll.how_to_generate_my_payslip,0.9573414921760559,0.0046572452411055565,0.002491452032700181,240,283,256,payroll.how_to_generate_my_payslip,payroll.when_will_i_get_my_pay,payroll.ns_make_up_pay
925,where be this in people hub,people_hub.dbs_people_hub,290,290,people_hub.dbs_people_hub,0.6086596250534058,0.01557570043951273,0.012614365667104721,290,48,328,people_hub.dbs_people_hub,general_benefits.hr_circulars,people_hub.update_personal_info_in_people_hub
926,where be the housing loan department,iprivileges.staff_home_loan,118,118,iprivileges.staff_home_loan,0.9199246764183044,0.004024778958410025,0.0027017027605324984,118,271,117,iprivileges.staff_home_loan,payroll.what_is_car_lease_scheme,iprivileges.staff_car_loan
927,how update my pi in the profile,people_hub.how_to_change_my_photo_in_people_hub,299,212,onboarding.new_hire_profile,0.24613888561725616,0.087407685816288,0.026224292814731598,212,328,319,onboarding.new_hire_profile,people_hub.update_personal_info_in_people_hub,people_hub.how_to_update_singapore_pr_status_in_people_hub
928,what be my notice period,offboarding.how_to_determine_last_day_of_service,196,196,offboarding.how_to_determine_last_day_of_service,0.9276329278945923,0.004539812915027142,0.002686275402083993,196,194,283,offboarding.how_to_determine_last_day_of_service,offboarding.can_i_offset_my_notice_period,payroll.when_will_i_get_my_pay
929,staff car loan,iprivileges.staff_car_loan,117,117,iprivileges.staff_car_loan,0.44789159297943115,0.2620165944099426,0.018087871372699738,117,110,118,iprivileges.staff_car_loan,iprivileges.how_to_apply_for_staff_car_loan,iprivileges.staff_home_loan
930,finance fps,compensation.how_does_the_bank_achieve_market_competitiveness,4,234,payroll.how_to_avail_flexi_pay_plan,0.3755742013454437,0.027762537822127342,0.027230532839894295,234,115,123,payroll.how_to_avail_flexi_pay_plan,iprivileges.iprivileges_escalation,iprivileges.waiver_for_non-salary_crediting_account
931,dbs digital tool,training.what_is_digify,490,490,training.what_is_digify,0.11516367644071579,0.09441857784986496,0.04460085928440094,490,208,290,training.what_is_digify,onboarding.how_to_upload_documents_after_onboarding,people_hub.dbs_people_hub
932,o reilly learn platform,training.what_is_dbs_learning_hub,489,489,training.what_is_dbs_learning_hub,0.1384931206703186,0.12048399448394775,0.08394614607095718,489,443,495,training.what_is_dbs_learning_hub,training.accessing_dbs_learning_hub,training.where_can_i_locate_my_e-learnings_in_dbs_learning_hub
933,car loan interest,iprivileges.staff_car_loan,117,117,iprivileges.staff_car_loan,0.42580369114875793,0.27029848098754883,0.017410721629858017,117,110,271,iprivileges.staff_car_loan,iprivileges.how_to_apply_for_staff_car_loan,payroll.what_is_car_lease_scheme
934,how do i claim my off in lieu,leave.how_do_i_claim_my_public_holiday_off-in-lieu,147,147,leave.how_do_i_claim_my_public_holiday_off-in-lieu,0.9660987257957458,0.0017324381042271852,0.0017151898937299848,147,152,149,leave.how_do_i_claim_my_public_holiday_off-in-lieu,leave.list_of_public_holidays,leave.leave_encashment
935,health check,general_benefits.annual_health_screening,43,43,general_benefits.annual_health_screening,0.770605206489563,0.08317263424396515,0.008698811754584312,43,68,87,general_benefits.annual_health_screening,iflex.health_screening_claim,ihealth.ihealth_app_features
936,tell me more about i share,shares.how_does_ishares_work,395,290,people_hub.dbs_people_hub,0.035480063408613205,0.022013705223798752,0.020040085539221764,290,31,211,people_hub.dbs_people_hub,employee_referral_programme.one_name_each_guide,onboarding.new_hire_1bank_password
937,i share website,shares.what_is_ishares,406,290,people_hub.dbs_people_hub,0.5366847515106201,0.031014323234558105,0.02287818118929863,290,210,216,people_hub.dbs_people_hub,onboarding.login_access_to_taleo,onboarding.when_will_the_new_hire_1bank_id_be_ready
938,medical leave,medical.medical_certificate,176,150,leave.leave_guidelines,0.9788161516189575,0.005840336438268423,0.0007678412948735058,150,140,151,leave.leave_guidelines,leave.can_i_take_leave,leave.leaves_of_direct_reports
939,purpose of personal loan,iprivileges.staff_personal_loan,120,120,iprivileges.staff_personal_loan,0.43070188164711,0.2044825255870819,0.03322050720453262,120,111,119,iprivileges.staff_personal_loan,iprivileges.how_to_apply_for_staff_personal_loan,iprivileges.staff_loans
940,investment proof,payroll.how_to_submit_my_investment_proofs,242,242,payroll.how_to_submit_my_investment_proofs,0.8692671656608582,0.04070048779249191,0.0021932930685579777,242,241,410,payroll.how_to_submit_my_investment_proofs,payroll.how_to_submit_my_investment_declaration,staff_info_update.how_can_i_change_my_salary_crediting_account
941,staff personal loan calculator,iprivileges.staff_personal_loan,120,120,iprivileges.staff_personal_loan,0.5189142823219299,0.10949783772230148,0.044062551110982895,120,111,119,iprivileges.staff_personal_loan,iprivileges.how_to_apply_for_staff_personal_loan,iprivileges.staff_loans
942,dividend,shares.dividends_from_ishares,392,392,shares.dividends_from_ishares,0.41265541315078735,0.01959318295121193,0.019001564010977745,392,124,230,shares.dividends_from_ishares,iprivileges.what_are_the_preferential_interest_rates_for_employees,payroll.gratuity
943,staff home loan rate,iprivileges.staff_home_loan,118,118,iprivileges.staff_home_loan,0.9196195602416992,0.004189664963632822,0.0028137373737990856,118,271,117,iprivileges.staff_home_loan,payroll.what_is_car_lease_scheme,iprivileges.staff_car_loan
944,chinese new year,leave.list_of_public_holidays,152,152,leave.list_of_public_holidays,0.5643413662910461,0.3115067780017853,0.007762150838971138,152,47,229,leave.list_of_public_holidays,general_benefits.festive_early_release,payroll.festive_early_pay
945,who be my hr manager,people_hub.how_to_view_org_chart_in_people_hub,322,51,general_benefits.who_is_my_hr_rm,0.9600749611854553,0.002040016232058406,0.0013639188837260008,51,312,48,general_benefits.who_is_my_hr_rm,people_hub.how_to_update_contact_info_in_people_hub,general_benefits.hr_circulars
946,mobile set up,training.what_is_digify,490,312,people_hub.how_to_update_contact_info_in_people_hub,0.26386934518814087,0.0959511548280716,0.03843393921852112,312,51,318,people_hub.how_to_update_contact_info_in_people_hub,general_benefits.who_is_my_hr_rm,people_hub.how_to_update_national_id_or_government_id_in_people_hub
947,no license assign,offboarding.resignation_of_rnf_reps,200,200,offboarding.resignation_of_rnf_reps,0.4597878158092499,0.027252165600657463,0.018446439877152443,200,435,421,offboarding.resignation_of_rnf_reps,standard_letter_request.how_can_i_apply_for_dependant_pass,standard_letter_request.can_i_request_dbs_to_generate_a_letter_for_ltvp_application
948,where can i get my payslip,payroll.how_to_generate_my_payslip,240,240,payroll.how_to_generate_my_payslip,0.9544773101806641,0.008337111212313175,0.0031517446041107178,240,283,256,payroll.how_to_generate_my_payslip,payroll.when_will_i_get_my_pay,payroll.ns_make_up_pay
949,can i meet people from other office,internal_mobility.internal_mobility,97,31,employee_referral_programme.one_name_each_guide,0.2501850426197052,0.0786805972456932,0.058021776378154755,31,437,440,employee_referral_programme.one_name_each_guide,talent_management.be_my_guest,talent_management.how_should_i_indicate_my_interest_to_be_my_guest
950,compensation be on a pool basis,compensation.how_is_the_group_and_unit_bonus_pool_determined,7,7,compensation.how_is_the_group_and_unit_bonus_pool_determined,0.5361720323562622,0.04782245680689812,0.044820260256528854,7,82,274,compensation.how_is_the_group_and_unit_bonus_pool_determined,ihealth.how_do_rewards_tiers_work,payroll.what_is_my_bonus_pay_out_computation
951,do everyone get bonus,payroll.what_is_my_bonus_pay_out_computation,274,282,payroll.when_is_our_bonus_credited,0.5682060718536377,0.12180718779563904,0.014816610142588615,282,274,7,payroll.when_is_our_bonus_credited,payroll.what_is_my_bonus_pay_out_computation,compensation.how_is_the_group_and_unit_bonus_pool_determined
952,pc hang,internal_mobility.internal_mobility_system_escalation,101,26,cwms.managed_service_or_resource_tracking_in_cwms,0.14607086777687073,0.14520999789237976,0.07855373620986938,26,27,23,cwms.managed_service_or_resource_tracking_in_cwms,cwms.termination_or_cancellation_in_cwms,cwms.cwf_service_level_agreement
953,unable to login share div,shares.how_to_join_ishares,398,398,shares.how_to_join_ishares,0.18786805868148804,0.03741961345076561,0.03553790971636772,398,406,101,shares.how_to_join_ishares,shares.what_is_ishares,internal_mobility.internal_mobility_system_escalation
954,where to find form,payroll.view_form_ir8a,268,424,standard_letter_request.can_i_request_dbs_to_generate_a_pr_letter_for_me,0.488130122423172,0.04052894935011864,0.02961556799709797,424,209,96,standard_letter_request.can_i_request_dbs_to_generate_a_pr_letter_for_me,onboarding.letter_of_appointment,internal_mobility.how_to_upload_attachments_in_dbs_recruiting_hub
955,delegation of authority,people_hub.how_to_delegate_leave_rights_in_people_hub,305,18,cwms.approvals_and_delegation_in_cwms,0.22963246703147888,0.042240262031555176,0.03816885128617287,18,302,305,cwms.approvals_and_delegation_in_cwms,people_hub.how_to_correct_leave_delegation_in_people_hub,people_hub.how_to_delegate_leave_rights_in_people_hub
956,approve authority,people_hub.how_to_approve_resignation_in_people_hub,298,18,cwms.approvals_and_delegation_in_cwms,0.7014188766479492,0.028255198150873184,0.021688302978873253,18,258,239,cwms.approvals_and_delegation_in_cwms,payroll.overtime_system_approver_is_not_updated,payroll.how_to_delegate_ot_allowance
957,intra net photo,people_hub.how_to_change_my_photo_in_people_hub,299,299,people_hub.how_to_change_my_photo_in_people_hub,0.8678854703903198,0.008103074505925179,0.003198722843080759,299,213,418,people_hub.how_to_change_my_photo_in_people_hub,onboarding.new_hire_staff_pass,staff_info_update.update_dependant_info
958,dbs share vest date,shares.how_can_i_find_out_the_price_of_a_dbsh_share,394,391,shares.crediting_of_contribution_shares,0.13420727849006653,0.07510776072740555,0.04482116922736168,391,400,394,shares.crediting_of_contribution_shares,shares.ishares_and_leaving_dbs_group,shares.how_can_i_find_out_the_price_of_a_dbsh_share
959,share bonus,payroll.when_is_our_bonus_credited,282,282,payroll.when_is_our_bonus_credited,0.3225834369659424,0.17361433804035187,0.019098978489637375,282,274,7,payroll.when_is_our_bonus_credited,payroll.what_is_my_bonus_pay_out_computation,compensation.how_is_the_group_and_unit_bonus_pool_determined
960,vest date,people_hub.how_to_check_my_joined_date_in_people_hub,300,300,people_hub.how_to_check_my_joined_date_in_people_hub,0.19141335785388947,0.01752825826406479,0.013456759974360466,300,137,283,people_hub.how_to_check_my_joined_date_in_people_hub,leave.can_i_apply_back_dated_leave,payroll.when_will_i_get_my_pay
961,buy i share,shares.how_to_join_ishares,398,398,shares.how_to_join_ishares,0.21196140348911285,0.11207074671983719,0.1054263561964035,398,395,393,shares.how_to_join_ishares,shares.how_does_ishares_work,shares.eligibility_criteria_for_ishares
962,change profile photo,people_hub.how_to_change_my_photo_in_people_hub,299,299,people_hub.how_to_change_my_photo_in_people_hub,0.9076253175735474,0.005069312639534473,0.0025121448561549187,299,418,213,people_hub.how_to_change_my_photo_in_people_hub,staff_info_update.update_dependant_info,onboarding.new_hire_staff_pass
963,inter mobility,internal_mobility.internal_mobility,97,98,internal_mobility.internal_mobility_application_process,0.3063896596431732,0.2040197104215622,0.10514210909605026,98,97,100,internal_mobility.internal_mobility_application_process,internal_mobility.internal_mobility,internal_mobility.internal_mobility_eligibility_criteria
964,where to find staff update,general_benefits.hr_circulars,48,408,staff_info_update.change_in_reporting_manager,0.14147265255451202,0.07764991372823715,0.053387582302093506,408,318,312,staff_info_update.change_in_reporting_manager,people_hub.how_to_update_national_id_or_government_id_in_people_hub,people_hub.how_to_update_contact_info_in_people_hub
965,hire process,onboarding.onboarding,214,98,internal_mobility.internal_mobility_application_process,0.14807561039924622,0.06722889095544815,0.05798657238483429,98,102,304,internal_mobility.internal_mobility_application_process,internal_mobility.job_posting_notification_in_dbs_recruiting_hub,people_hub.how_to_create_job_requisition_in_people_hub
